NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM,Volume,Nilai,Frekuensi,Harga Terakhir,Rasio EPS
TLKM,190.51,1.930501931,0.518,0.518,0.104109533,0.104109533,0.242005602,153853900,558863230000,17652,"3,690",0.051628726
ICBP,426.0000000000,1.970388999,0.507513999,1.030514568,0.056676585,0.115082631,0.142690874,5656600,47047157500,2732,"8,350",0.051017964
MBSS,34.3368000000,8.959106808,0.11161827,0.125642239,0.025295469,0.028473648,0.085540308,22877900,15912080000,3136,695,0.049405468
MTDL,143.1300000000,2.185828945,0.457492341,0.843291947,0.078366162,0.144451715,0.043826859,2218900,6444339000,879,"2,900",0.049355172
HMSP,48.0000000000,2.277120747,0.439151064,0.783011318,0.113698514,0.202725738,0.076593322,37822100,38491629000,5385,"1,030",0.046601942
AKRA,201.9000000000,2.060477383,0.485324424,0.942971549,0.03924712,0.076256037,0.04848891,12732700,54184145000,6625,"4,360",0.046307339
BSDE,44.5100000000,2.434010336,0.410844599,0.697345043,0.017177621,0.029156349,0.199798975,38601100,38939546500,4429,"1,000",0.04451
BALI,34.0500000000,1.885010736,0.530500957,1.129929796,0.027321994,0.058193929,0.192900762,10183500,7870560000,1465,770,0.044220779
HEAL,51.3400000000,2.254872568,0.443484042,0.796893665,0.134079644,0.240926863,0.217072197,10015200,11664044500,3551,"1,170",0.043880342
IPCM,17.1600000000,4.798706366,0.208389496,0.263247512,0.063513455,0.080233214,0.150887006,28573200,11379787400,6804,408,0.042058824
SCMA,84.1300000000,3.51059254,0.284852198,0.398312344,0.155571514,0.217537568,0.247599739,16199600,32193309000,2944,"2,010",0.041855721
NICL,3.3900000000,7.556761152,0.132331826,0.152514325,0.061311981,0.070662937,0.103738111,280887300,22635222900,13703,82,0.041341463
BTPS,142.0000000000,1.606877068,0.622325142,1.647780173,0.061597306,0.163096126,0.317963684,11149100,38033426000,1804,"3,470",0.04092219
BBRI,154.0000000000,1.209245963,0.82696162,4.779064726,0.011773279,0.068038541,0.173258812,416099000,1593407145000,32994,"3,850",0.04
TOWR,52.0000000000,1.281632485,0.78025488,3.550726761,0.049953861,0.227326372,0.429936576,107140700,140948178000,12338,"1,325",0.039245283
INCO,177.4812000000,8.223396064,0.121604261,0.138439038,0.051161908,0.058244713,0.179095411,15257700,70605475000,7825,"4,590",0.038666928
SIDO,29.0726083875,6.217000972,0.160849259,0.191681007,0.237067337,0.282508643,0.311729409,9357700,7235170500,4032,770,0.037756634
MSIN,18.8400000000,4.812762375,0.20778088,0.262277032,0.065431429,0.08259259,0.161618356,26174400,13664115000,4386,520,0.036230769
BRPT,15.2766667308,1.919784794,0.520891718,1.087210842,0.030621394,0.063913305,0.116939423,60874800,58628430000,5088,422,0.036200632
AGII,56.6800000000,1.789375885,0.558854072,1.2668236,0.022217102,0.05036225,0.08621347,11608500,18169069500,3642,"1,600",0.035425
KLBF,48.8100000000,5.67639236,0.176168231,0.213840055,0.095781606,0.116263549,0.12169998,23730600,33689252000,3295,"1,430",0.034132867
INTP,328.2200000000,1,1,1.218419609,0.046017445,0.056068557,0.11389363,3350700,35100170000,3617,"10,500",0.031259048
EXCL,95.0000000000,1.406488214,0.710990671,2.460095925,0.014819548,0.051277059,0.051332782,41813700,125078803000,5807,"3,040",0.03125
ANTM,71.1800000000,2.570112463,0.389088032,0.636897053,0.051363861,0.084077352,0.064603534,125415100,288499599000,22612,"2,290",0.031082969
PWON,14.9912884248,2.790779351,0.358322846,0.558416088,0.027898906,0.043478105,0.211178718,15159300,7329011800,2392,484,0.030973736
ZBRA,25.3700000000,1.760126363,0.568141027,1.315570737,0.009847197,0.022801881,0.011659546,21841000,17855922500,3872,820,0.030939024
COCO,7.6500000000,1.667346566,0.599755336,1.498471784,0.014751048,0.036855077,0.027194685,18457700,4758786600,796,252,0.030357143
UNVR,115.0000000000,1.357931182,0.736414343,2.793833144,0.216699343,0.82212115,0.145816268,35514100,141036399000,9882,"3,950",0.029113924
IRRA,53.0000000000,2.303635482,0.434096457,0.767085596,0.094593673,0.167155116,0.078173778,50555700,93205187500,9312,"1,845",0.028726287
SMGR,234.0000000000,2.041688566,0.489790665,0.959979818,0.018845661,0.036937115,0.056996633,13400900,110449467500,7510,"8,200",0.028536585
BOLA,19.0600000000,9.1928755,0.108779892,0.122057268,0.172315681,0.193348062,1.326608888,647300,18878592500,1850,705,0.027035461
MIKA,62.0000000000,7.436479079,0.13447224,0.155364445,0.150618453,0.174019205,0.296454539,21706900,49765309000,1727,"2,300",0.026956522
BRIS ,54.8800000000,1.10629761,0.9039159,9.4075492,0.008991314,0.093577548,0.013131878,31475800,63947512000,12576,"2,040",0.026901961
BBCA,941.0000000000,1.203785598,0.830712713,4.907118114,0.019851013,0.117262279,0.355964262,31369600,1061841967500,18497,"35,000",0.026885714
