NAMA_PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
RANC,17.0000000000,1.594676496,0.627086436,1.681586555,0.019500865,0.052293257,0.01257268
SIMP,36.3342194950,2.104672075,0.4751334,0.90524602,0.021839616,0.041609841,0.056560331
RODA,1.2000000000,2.458987045,0.40667152,0.685407045,0.005573696,0.009393947,0.067569504
HEAL,51.3400000000,2.254872568,0.443484042,0.796893665,0.134079644,0.240926863,0.217072197
MPOW,0.9900000000,2.442838558,0.40935984,0.693078234,0.003316543,0.005615166,0.025559268
IPCM,17.1600000000,4.798706366,0.208389496,0.263247512,0.063513455,0.080233214,0.150887006
PTDU,-1.9200000000,1.391885466,0.718449919,2.551765976,-0.008928747,-0.031712821,-0.059440366
TECH,2.4400000000,10.70415505,0.093421666,0.103048642,0.048275886,0.05325065,0.197751248
FILM,2.3400000000,27.12101413,0.036871778,0.038283353,0.014835142,0.015403081,0.105018848
WSBP,-11.3800000000,1.095452024,0.912865172,10.47646722,-0.027734264,-0.318291374,-0.375073673
DYAN,-17.0000000000,2.161597709,0.462620772,0.860883241,-0.095646971,-0.177987846,-0.379467865
BACA,2.9600000000,1.081447977,0.924686181,12.27777581,0.000947323,0.012578337,0.014672094
NPGF,1.4800000000,2.113156679,0.473225677,0.898346135,0.011975174,0.022733025,0.022526688
CSIS,8.2600000000,2.131117484,0.469237387,0.884081463,0.020553497,0.038724464,0.189830336
BGTG ,0.5500000000,1.174305997,0.8515668,5.737037268,0.000797401,0.005372121,0.023102385
PRIM,31.0800000000,6.67045396,0.149914834,0.176352724,0.090400441,0.106342805,0.205486974
PNBN,93.7300000000,1.31691062,0.759352977,3.155463833,0.011474503,0.047681882,0.174304297
DGNS,51.1800000000,5.46385697,0.183020896,0.224021515,0.261428173,0.319993708,0.255053339
BBHI,18.8658260693,1.229367401,0.813426482,4.359817469,0.01242745,0.066608863,0.96683873
MCAS,66.0000000000,3.81564091,0.262079169,0.355158925,0.064283743,0.087114688,0.013666949
MYOR,44.0000000000,2.221125241,0.450222248,0.81891682,0.049937233,0.090831673,0.0505472
