NAMA_PERUSAHAAN','LABA_PER_SAHAM','CURRENT_RATIO','DEBT_RATIO','DEBT_TO_EQUITY_RATIO,ROA,ROE,NPM
SRTG,1032.0000000000,11.70872662,0.085406384,0.093381784,0.284822142,0.311419341,0.957081543
SSIA,-59.1395527378,2.028766213,0.492910417,0.972038144,-0.034887875,-0.06880022,-0.195919968
SSMM,-6.3900000000,0.474430716,2.10778933,-1.902698711,-0.093278643,0.084202511,-0.440860862
TBIG,51.8200000000,1.300224416,0.769098002,3.330841685,0.026929103,0.116625681,0.245480037
TINS,82.0000000000,1.680329791,0.59512127,1.469875364,0.044336152,0.109504768,0.063102372
TKIM,806.9148000000,2.155888591,0.463845861,0.86513528,0.055976007,0.104402825,0.235944823
TOWR,52.0000000000,1.281632485,0.78025488,3.550726761,0.049953861,0.227326372,0.429936576
TPIA,108.7332000000,2.771935279,0.360758784,0.564354698,0.036085309,0.056450223,0.088073664
UNTR,2.0960000000,2.684885861,0.372455312,0.593512013,0.072867355,0.116115005,0.139494845
UNVR,115.0000000000,1.357931182,0.736414343,2.793833144,0.216699343,0.82212115,0.145816268
WEGE,15.7400000000,1.671738134,0.59817981,1.488675348,0.026271921,0.065382281,0.06185611
WIIM,51.8200000000,3.540296733,0.282462199,0.393654799,0.062776974,0.087489432,0.057108316
WIKA,11.7000000000,1.348927307,0.741329792,2.865926457,0.002736827,0.010580373,0.016332051
WOOD,74.6000000000,2.128705507,0.469769067,0.885970692,0.054870047,0.103483301,0.101105644
WSKT,12.8486587432,1.173765753,0.851958747,5.754873913,0.000632157,0.004270138,0.009363594
WTON,6.1976878785,1.675809724,0.596726457,1.479706439,0.006051662,0.015006344,0.020700751
