NAMA_PERUSAHAAN,JUMLAH_ASET,JUMLAH_LIABILITAS,JUMLAH_EKUITAS,PENDAPATAN,LABA_BRUTO,LABA_SEBELUM_PAJAK,LABA_SETELAH_PAJAK,ARUS_KAS_DARI_AKTIVITAS_OPERASI,ARUS_KAS_DARI_AKTIVITAS_INVESTASI,ARUS_KAS_DARI_AKTIVITAS_PENDANAAN,KAS_DAN_SETARA_KAS_PADA_AKHIR_PERIODE,LABA_PER_SAHAM,,,
BTEL ,20449000000,11398801000000,-11378352000000,27789000000,-74564000000,-74564000000,-74799000000,1151000000,-282000000,0,1278000000,-2.0300000000,,,
BTON ,247458475294,49102506186,198355969108,81671722770,16460433229,11477592849,9623988018,1419947559,-757664449,17800000000,194787090494,13.3700000000,,,
BTPN ,183024008000000,147732875000000,35291133000000,12517327000000,3054111000000,3052437000000,2374962000000,5867848000000,-4675645000000,-4170025000000,22264372000000,254.0000000000,,,
BTPS,17797629000000,11075912000000,6721717000000,3447834000000,1405227000000,1405227000000,1096286000000,2946464000000,-1555897000000,-454153000000,3136719000000,142.0000000000,,,
BUDI ,3056111000000,1691492000000,1364619000000,2611642000000,327379000000,87025000000,69457000000,190973000000,-57689000000,-84608000000,112902000000,14.1000000000,,,
BUKA ,25019756036000,1067373268000,23952382768000,1347687053000,-1125076226000,-1125076226000,-1128095490000,-1124383907000,17786612000,23243698950000,23637876671000,-11.0000000000,,,
BUKK ,5201057757000,2066163060000,3134894697000,2807288384000,489671828000,359127942000,301650156000,198399015000,-314437766000,-74081336000,540282296000,112.0000000000,,,
BULL ,11948402360907,6866827851135,5081574509772,1972004829948,673927772706,42308774856,40831076361,437534399187,-406272531162,-53231983365,118646305695,2.8614000000,,,
BUMI,52974359261901,48965867995926,4008491265975,9531063942555,2194651293903,2106878893314,1019894954010,-1349350040325,-757852048119,3202872608640,1897946218218,0.8700000000,,,
BUVA ,3632449041224,1867300296567,1765148744657,34026462450,14976841965,-84092023005,-84092193610,-15370226427,15040618821,-138020777,2357103187,-4.0000000000,,,
BVIC,24431800255000,21723296231000,2708504024000,1534501045000,45157465000,45157465000,42436404000,-1237341216000,1120587625000,-111553530000,2276968226000,4.7100000000,,,
BWPT,12331754000000,10597523000000,1734231000000,2134213000000,423963000000,-1753997000000,-1744145000000,151535000000,-63800000000,-30954000000,98214000000,-55.0100000000,,,
BYAN,26746493669736,8497707861306,18248785808430,25024114428546,15400728244797,12628698365304,9730632442932,12073386452997,-1559353265310,-8415791129826,7584030793626,0.2000000000,,,
CAKK,433137233560,202274029142,230863204418,192804683570,22302937322,6819858085,5335899125,11265166381,-34226649067,20094003888,2866696422,5.9300000000,,,
CAMP,1147377154426,145120647372,1002256507054,761331513583,424613388501,102749611807,81401021473,129266559291,-24745747931,0,583256740685,13.8300000000,,,
CARE,3580013808651,270325537866,3309688270785,233313104816,24328777778,23748272757,18930831529,21721381181,-32366613173,29177978943,544012440755,0.5610000000,,,
CARS,4663546400186,4130855226016,532691174170,3587440084355,112648928655,-356674751353,-393842267551,551444548099,-2034023952,-620407345088,389991267420,-26.0000000000,,,
CASA,37378669000000,26498488000000,7972959000000,1480663000000,116762000000,86830000000,80920000000,1847217000000,-8742000000,1000000,6178350000000,1.2300000000,,,
CASS,623355000000,935148000000,559899000000,1004042000000,164955000000,168093000000,120201000000,193546000000,-15151000000,-115244000000,337409000000,20.0000000000,,,
CCSI,479855949000,114077377000,365778572000,309023588000,77173183000,49208730000,38426319000,-4862712000,-26285821000,-45708349000,23346070000,0.0500000000,,,
CEKA,1581329942561,250546140187,1330783802374,3688124983656,252864278467,164784839848,129568807510,-17006046051,-43990600331,-59419426896,321390104560,218.0000000000,,,
