NAMA PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
BNBA ,15.1500000000,1.286842289,0.777096004,3.486236299,0.004824789,0.021645146,0.083584094
BNBR ,-23.9500000000,1.091438569,0.916221974,10.93630414,-0.00298489,-0.035628557,-0.028744979
BNGA ,126.3800000000,1.168242537,0.855986637,5.943800052,0.010660948,0.074027493,0.175421443
BNII ,13.9400000000,1.22218677,0.818205551,4.500718016,0.00705387,0.038801352,0.112132493
BNLI ,28.0000000000,1.197164844,0.835306855,5.071898122,0.003798544,0.023064375,0.078851687
BOGA ,2.4500000000,2.287969233,0.437068814,0.776416062,0.011685732,0.020758721,0.022337653
BOLA,19.0600000000,9.1928755,0.108779892,0.122057268,0.172315681,0.193348062,1.326608888
BOLT ,15.6800000000,2.400643818,0.416554923,0.713957387,0.034010561,0.058292652,0.051721461
BOSS,-77.9800000000,0.961902365,1.039606551,-26.24834817,-0.198395903,5.009168828,-7.414933149
BPII ,124.6400000000,2.074460108,0.482053136,0.930699979,0.03515669,0.067877021,0.13327134
BPTR ,5.2500000000,1.524662782,0.655882738,1.905986158,0.01199384,0.034853933,0.054663612
BRAM ,600.6153061316,4.085882209,0.244745186,0.324056439,0.071319478,0.094431015,0.105567727
BRIS ,54.8800000000,1.10629761,0.9039159,9.4075492,0.008991314,0.093577548,0.013131878
BRMS ,1.1445608000,7.09514897,0.140941368,0.164064899,0.008816671,0.010263177,0.748725583
BRNA ,-84.0000000000,1.634755748,0.611712179,1.575409129,-0.048298758,-0.124389064,-0.10914163
BRPT ,15.2766667308,1.919784794,0.520891718,1.087210842,0.030621394,0.063913305,0.116939423
BSDE ,44.5100000000,2.434010336,0.410844599,0.697345043,0.017177621,0.029156349,0.199798975
BSIM ,5.6200000000,1.185386852,0.843606455,5.394125789,0.002241471,0.014332249,0.033377734
BSSR ,567.9879000000,2.720317533,0.367604145,0.581288036,0.305065637,0.482396642,0.239347056
BTEK ,-2.5000000000,1.587543228,0.629904107,1.702002426,-0.027556801,-0.074458544,-0.952361988
BTON ,13.3700000000,5.039630245,0.198427256,0.247547409,0.038891325,0.048518772,0.117837456
BTPN ,254.0000000000,1.238884764,0.807177575,4.186118791,0.012976232,0.067296281,0.189733958
BTPS,142.0000000000,1.606877068,0.622325142,1.647780173,0.061597306,0.163096126,0.317963684
