LABA PER SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
37.88,1.259419251,0.794016765,3.854764033,0.05213852,0.253120213,0.019626316
59.3,3.176396961,0.314822112,0.459475003,0.054776393,0.079944777,0.182113004
15.15,1.286842289,0.777096004,3.486236299,0.004824789,0.021645146,0.083584094
-23.95,1.091438569,0.916221974,10.93630414,-0.00298489,-0.035628557,-0.028744979
126.38,1.168242537,0.855986637,5.943800052,0.010660948,0.074027493,0.175421443
13.94,1.22218677,0.818205551,4.500718016,0.00705387,0.038801352,0.112132493
28,1.197164844,0.835306855,5.071898122,0.003798544,0.023064375,0.078851687
2.45,2.287969233,0.437068814,0.776416062,0.011685732,0.020758721,0.022337653
19.06,9.1928755,0.108779892,0.122057268,0.172315681,0.193348062,1.326608888
15.68,2.400643818,0.416554923,0.713957387,0.034010561,0.058292652,0.051721461
-77.98,0.961902365,1.039606551,-26.24834817,-0.198395903,5.009168828,-7.414933149
14.95,3.169609832,0.315496245,0.460912365,0.020277372,0.029623463,0.122251305
124.64,2.074460108,0.482053136,0.930699979,0.03515669,0.067877021,0.13327134
5.25,1.524662782,0.655882738,1.905986158,0.01199384,0.034853933,0.054663612
600.6153061,4.085882209,0.244745186,0.324056439,0.071319478,0.094431015,0.105567727
54.88,1.10629761,0.9039159,9.4075492,0.008991314,0.093577548,0.013131878
1.1445608,7.09514897,0.140941368,0.164064899,0.008816671,0.010263177,0.748725583
-84,1.634755748,0.611712179,1.575409129,-0.048298758,-0.124389064,-0.10914163
15.27666673,1.919784794,0.520891718,1.087210842,0.030621394,0.063913305,0.116939423
44.51,2.434010336,0.410844599,0.697345043,0.017177621,0.029156349,0.199798975
5.62,1.185386852,0.843606455,5.394125789,0.002241471,0.014332249,0.033377734
567.9879,2.720317533,0.367604145,0.581288036,0.305065637,0.482396642,0.239347056
6,1.474866904,0.678027283,2.105853223,0.002568284,0.007976715,0.05778724
-2.5,1.587543228,0.629904107,1.702002426,-0.027556801,-0.074458544,-0.952361988
-2.03,0.001793961,557.4258399,-1.001797185,-3.657831679,0.006573799,-2.691676563
13.37,5.039630245,0.198427256,0.247547409,0.038891325,0.048518772,0.117837456
254,1.238884764,0.807177575,4.186118791,0.012976232,0.067296281,0.189733958
142,1.606877068,0.622325142,1.647780173,0.061597306,0.163096126,0.317963684
14.1,1.806754628,0.553478588,1.239534258,0.02272725,0.050898456,0.026595146
-11,23.44049339,0.042661218,0.0445623,-0.045088189,-0.047097422,-0.83706042
112,2.517254256,0.397258242,0.659085315,0.057997848,0.096223378,0.1074525
2.8614,1.740017752,0.57470678,1.351318934,0.003417283,0.008035123,0.020705363
0.87,1.081862968,0.924331482,12.21553566,0.019252615,0.254433623,0.107007461
-4,1.945294524,0.514060975,1.057871356,-0.023150275,-0.047640287,-2.471376322
4.71,1.124682,0.889140219,8.020403898,0.001736933,0.015667839,0.027654855
-55.01,1.163644939,0.859368667,6.110790892,-0.141435274,-1.005716655,-0.817230989
0.2,3.147495078,0.317712967,0.465658809,0.363809648,0.533220815,0.388850222
5.93,2.141338833,0.466997555,0.876164002,0.012319188,0.023112818,0.027675153
13.83,7.906367393,0.126480335,0.144793919,0.070945304,0.081217753,0.106919286
0.561,13.24334296,0.075509636,0.081677039,0.005287921,0.005719823,0.081139169
-26,1.12895421,0.885775518,7.754690572,-0.084451238,-0.739344458,-0.10978365
1.23,1.410596295,0.708920053,3.323544998,0.002164871,0.010149306,0.054651193
20,0.666584327,1.500185288,1.670208377,0.192829126,0.214683363,0.119717103
0.05,4.20640763,0.237732547,0.311875505,0.080078863,0.105053499,0.124347527
218,6.311531846,0.158440142,0.188269605,0.081936605,0.097362778,0.035131349
-9.4,1.397422645,0.715603117,2.516212935,-0.037139044,-0.130588787,-0.328168036
18.71,2.614702158,0.382452738,0.619309261,0.009552679,0.015468742,0.074837149
-25.86,3.723253735,0.268582286,0.367207795,-0.052447612,-0.071706784,-0.131439474
95,6.506071595,0.153702582,0.181617689,0.091256142,0.107829871,0.11995032
-2.51,9.669766651,0.103415112,0.115343358,-0.014135535,-0.015765975,-0.449228226
-33.22516457,1.134927073,0.881113883,7.411411043,-0.073916523,-0.621742261,-5.492118586
11,3.684584869,0.271400995,0.372497071,0.100840979,0.138403948,0.170119415
84.06,3.480055864,0.287351709,0.403216724,0.037587581,0.052743523,0.041543638
90,3.439112239,0.290772714,0.409985233,0.032702528,0.046110082,0.250225167
0.000038,0.258030724,3.875507483,3.407399692,0.100456927,0.088323117,0.064449928
-154.13,0.541120378,1.848017634,-2.179220761,-0.30941044,0.364863215,-3.388194312
89.78,2.508301609,0.398676139,0.66299737,0.386128152,0.642130101,0.223917528
-8.45,0.492410317,2.03082666,-1.970095205,-0.064388974,0.062463435,-0.107268954
-286.5,0.760844539,1.314328944,-4.181380581,-0.115695766,0.368072262,-0.192804432
7.65,1.667346566,0.599755336,1.498471784,0.014751048,0.036855077,0.027194685
163,3.288901093,0.304052926,0.436890874,0.077027852,0.110680617,0.071158481
0.35,8.657828217,0.115502407,0.130585327,-0.003986956,-0.004507594,-0.280106561
35.6,1.736044277,0.576022175,1.358613918,0.317835199,0.749650525,0.353107252
31,1.34594432,0.742972785,2.890638585,0.017267343,0.067180989,0.014751097
8.26,2.131117484,0.469237387,0.884081463,0.020553497,0.038724464,0.189830336
-22.98,1.113424033,0.898130425,8.81647369,-0.164310856,-1.612953195,-0.4095752
87,1.857138118,0.538462913,1.166673118,0.109842691,0.237993205,0.273701993
-78.6885,4.360348526,0.229339465,0.297588179,-0.036233839,-0.047016601,-0.071687583
55,1.865180901,0.536141025,1.155827641,0.031666935,0.068268454,0.190771236
-17,1.438038437,0.695391705,2.282904687,-0.030551094,-0.10029633,-0.330410031
0.37,1.972148514,0.507061204,1.028649415,0.003770326,0.00764867,0.045022066
-96,1.638367033,0.610363844,1.566496935,-0.04522483,-0.116069389,-1.395757196
-15.34,1.149033341,0.870296766,6.709907967,-0.058004992,-0.447213151,-0.052492055
72,1.575682168,0.634645755,1.737069611,0.060401697,0.165323648,0.28394242
-11.11,0.962730878,1.03871188,-26.83186363,-0.062119109,1.604652346,-0.196918763
1144.56,1.898617252,0.526699101,1.112820834,0.002998226,0.006334714,0.007284454
-6.095,1.294591042,0.772444708,3.394536344,-0.071612681,-0.314704529,-0.3698342
0.28,2.855781325,0.350166867,0.538856592,0.001539573,0.002369182,0.006590901
51.18,5.46385697,0.183020896,0.224021515,0.261428173,0.319993708,0.255053339
-7.7,1.691704929,0.591119635,1.445703158,-0.34707071,-0.848831931,-0.458155122
-7,1.58847183,0.629535873,1.699316687,-0.006773999,-0.018285169,-0.059452546
1784.73,11.18849188,0.089377551,0.098149953,0.534291094,0.586731739,0.34663182
-7.07,1.286014313,0.777596322,3.496328524,-0.041311696,-0.185750957,-0.099099716
177,4.072982797,0.24552031,0.325416726,0.000111057,0.000147197,0.000293026
13.17,9.496585481,0.105301006,0.117694338,0.097618266,0.109107383,0.485575575
3.16,9.007639882,0.111016872,0.124880741,0.217594582,0.244767955,0.316399167
22,5.984218526,0.167106197,0.200633258,0.036098538,0.043341105,0.042755428
0.97,1.600951659,0.624628479,1.664027357,0.001667856,0.004443213,0.027506879
28.48,2.570603122,0.389013765,0.636698085,0.024274536,0.039730087,0.793488997
-26.46795,1.216882501,0.821772028,4.610791539,-0.011567691,-0.064903903,-0.026984548
56.23,5.402807246,0.185088965,0.227127817,0.04828833,0.059255953,0.172014938
-12.27,1.835621842,0.544774516,1.196713573,-0.036043193,-0.079176571,-0.497628965
6.21,1.250905425,0.799420947,0.96585864,0.046665851,0.056381579,0.029433228
39.23,1.876822592,0.532815411,1.140481562,0.030374442,0.065015933,0.08396543
1144.56,2.543432477,0.39316947,0.647906543,0.044353858,0.073091013,0.094574231
229.75,3.417827994,0.292583478,0.413594351,0.030304344,0.042838049,0.341729327
239,3.210736165,0.311455052,0.452338011,0.122884331,0.178469585,0.170597953
5.54,0.994592711,1.005436687,-184.93555,0.046181637,-8.494444772,0.029665525
-17,2.161597709,0.462620772,0.860883241,-0.095646971,-0.177987846,-0.379467865
1.17,24.29186078,0.041166052,0.042933453,0.018946136,0.019759559,0.159642421
-7,3.587502616,0.278745441,0.386473039,-0.004786462,-0.0066363,-0.006479855
240,4.314148624,0.231795445,0.301736619,0.06717985,0.087450471,0.192962115
114.7031833,7.754296694,0.128960761,0.148053905,0.073480989,0.084360136,0.188829104
